"text","author"
"Was it not Fate, that, on this July midnight- Was it not Fate, (whose name is also Sorrow,) That bade me pause before that garden-gate, To breathe the incense of those slumbering roses?","EAP"
"Evadne's constancy, fortitude, even her ill-fated and ill-regulated love, were matter of admiration and pity; especially when, from the detail of the events of the nineteenth of October, it was apparent that she preferred suffering and death to any in her eyes degrading application for the pity and assistance of her lover.","MWS"
"Liberty, however, had been a useless gift to me, had I not, as I awakened to reason, at the same time awakened to revenge.","MWS"
"That these visible affairs are not more frequent is not to the neighbourhood's credit, unless the power of concealment be an art demanding credit.","HPL"
"For correct writing, the cultivation of patience and mental accuracy is essential.","HPL"
"If we cannot understand him in his objective creatures, how then in his substantive moods and phases of creation?","EAP"
"She swallowed the wine unhesitatingly, and I forbore to speak to her of a circumstance which must, after all, I considered, have been but the suggestion of a vivid imagination, rendered morbidly active by the terror of the lady, by the opium, and by the hour.","EAP"
"One side of the cobblestoned open space was the straight line of the river; the other was a semicircle of slant-roofed brick buildings of about the 1800 period, from which several streets radiated away to the southeast, south, and southwest.","HPL"
"These latter, as well as the queer cave-mouths, were as thick on the inner as on the outer sides of the mountains.","HPL"
"In accomplishing this point, I was urged partly, and perhaps principally, by a regretful memory of the deceased, but also, in part, by an uneasy, and not altogether horrorless curiosity respecting yourself.","EAP"
"That my memory is broken, I do not wonder; for my health, physical and mental, was gravely disturbed throughout the period of my residence in the Rue d'Auseil, and !","HPL"
"""Insomnia,"" by Winifred Virginia Jordan, is a remarkable piece of verse whose dark turns of fancy are almost worthy of a Poe.","HPL"
"How little, indeed, ought it to know for its own tranquillity!","HPL"
"I was an outcast and a vagabond, when Adrian gently threw over me the silver net of love and civilization, and linked me inextricably to human charities and human excellence.","MWS"
"It was most narrow at its northern extremity, opening out as it tended southwardly, but with no very precise regularity.","EAP"
"Then for a moment did Iranon believe he had found those who thought and felt even as he, though the town was not an hundredth as fair as Aira.","HPL"
"She was no longer that happy creature who in earlier youth wandered with me on the banks of the lake and talked with ecstasy of our future prospects.","MWS"
"I determined, therefore, to attempt no more, in my first effort, than merely to recover the other chain.","EAP"
"Rising shortly before eleven, and afflicted as usual with that strange feeling regarding the northeastward terrain, I set out on one of my typical nocturnal walks; seeing and greeting only one person - an Australian miner named Tupper - as I left our precincts.","HPL"
"This method would probably gain us immunity from straying, since there did not appear to be any strong air-currents inside the primordial masonry.","HPL"
"But after all, this was not the final phase of the matter.","HPL"
"From the rubbish of an old book-stall, in a very remote corner of the town, I got together several antique and altogether unknown or forgotten volumes.","EAP"
"If I returned, it was to be sacrificed or to see those whom I most loved die under the grasp of a daemon whom I had myself created.","MWS"
"A cry rose from the crowd, and Dr. Armitage shouted to the men outside that no one must be admitted till the police or medical examiner came.","HPL"
"Tantum vini habet nemo Quantum sanguinis effudit!","EAP"
"That application, which at first had been a matter of duty and resolution, now became so ardent and eager, that the stars often disappeared in the light of morning whilst I was yet engaged in my laboratory.","MWS"
"But I do not pretend that my protestations should acquit me: I rest my innocence on a plain and simple explanation of the facts which have been adduced against me; and I hope the character I have always borne will incline my judges to a favourable interpretation, where any circumstance appears doubtful or suspicious.""","MWS"
"Soon after this he inquired if I thought that the breaking up of the ice had destroyed the other sledge.","MWS"
"I had not been a day in Anchester before I knew I came of an accursed house.","HPL"
"Only when one or the other of the bodies had died during the exchange was this restoration impossible.","HPL"
"The visiting beings have methods which make these extractions easy and almost normal - and one's body never ages when the brain is out of it.","HPL"
"Under the icy vaults of the glaciers, beneath the shadow of the pines, the swinging of whose mighty branches was arrested by a load of snow; beside the streams whose intense cold proclaimed their origin to be from the slow-melting piles of congelated waters, amidst frequent storms which might purify the air, we should find health, if in truth health were not herself diseased.","MWS"
"But such is not my destiny; I must pursue and destroy the being to whom I gave existence; then my lot on earth will be fulfilled and I may die.""","MWS"
"I, he now goes to the rear again, and throws open the back door of the main compartment.","EAP"
"The breadth of the seam was barely sufficient to admit us, and, after one or two ineffectual efforts at getting up, we began once more to despair.","EAP"
"I slaked my thirst at the brook; and then lying down, was overcome by sleep.","MWS"
"Found a sensible diminution in the earth's apparent diameter, besides a material alteration in its general color and appearance.","EAP"
"haste thou to write what was, before the thought of what is, arrests the hand that guides thee.","MWS"
"I am now, however, resolv'd to unburthen myself of a secret which I have hitherto kept thro' Dread of Incredulity; and to impart to the Publick a true knowledge of my long years, in order to gratifie their taste for authentick Information of an Age with whose famous Personages I was on familiar Terms.","HPL"
"She had to give in, but got frightfully angry.","HPL"
"my lord, It is-it is-most true.","EAP"
"Emicant Trabes quos docos vocant.-Pliny, lib.","EAP"
"This passage proved of great length, and terminated in a massive oaken door, dripping with the moisture of the place, and stoutly resisting all my attempts to open it.","HPL"
"They fill my soul with Beauty (which is Hope), And are far up in Heaven-the stars I kneel to In the sad, silent watches of my night; While even in the meridian glare of day I see them still-two sweetly scintillant Venuses, unextinguished by the sun!","EAP"
"Justine, whom I loved and esteemed as my sister, how could she put on those smiles of innocence only to betray; her mild eyes seemed incapable of any severity or ill-humour, and yet she has committed a murder.""","MWS"
"Now I can understand how Important all this will be to you.","HPL"
"But repugnance was soon forgotten in admiration, for the strange physician's extreme skill at once became manifest despite the ice-coldness and shakiness of his bloodless-looking hands.","HPL"
"""Now, you nigger, my teeth!","EAP"
"The ancient lightning-scarred trees seemed unnaturally large and twisted, and the other vegetation unnaturally thick and feverish, while curious mounds and hummocks in the weedy, fulgurite-pitted earth reminded me of snakes and dead men's skulls swelled to gigantic proportions.","HPL"
"To this Captain Guy consented; and ten savages being left on board as hostages, a party of us, twelve in all, got in readiness to attend the chief.","EAP"
"What is more, many of these accounts supplied very horrible details and explanations in connexion with the visions of great buildings and jungle gardens - and other things.","HPL"
"This functionary, however, has been thoroughly mystified; and the remote source of his defeat lies in the supposition that the Minister is a fool, because he has acquired renown as a poet.","EAP"
"The first two lines have none.","HPL"
"My return had only been delayed so long from an unwillingness to leave Clerval in a strange place, before he had become acquainted with any of its inhabitants.","MWS"
"The keepers, ten in number, having been suddenly overpowered, were first well tarred, then carefully feathered, and then shut up in underground cells.","EAP"
"I confess to you, my friend, that I love you and that in my airy dreams of futurity you have been my constant friend and companion.","MWS"
"The piazzas of the main building and western wing had no floors, as is usual; but at the doors and at each window, large, flat irregular slabs of granite lay imbedded in the delicious turf, affording comfortable footing in all weather.","EAP"
"It is to be regretted that both author and translator are suffered to remain unrevealed.","HPL"
"Thereafter, on the cloudy nights when I could sleep, I saw the city often; sometimes under that horned waning moon, and sometimes under the hot yellow rays of a sun which did not set, but which wheeled low around the horizon.","HPL"
"No use, either, to point out the even more startlingly similar belief of the Nepalese hill tribes in the dreaded Mi-Go or ""Abominable Snow-IVIen"" who lurk hideously amidst the ice and rock pinnacles of the Himalayan summits.","HPL"
"In the mean time my own disease-for I have been told that I should call it by no other appellation-my own disease, then, grew rapidly upon me, and assumed finally a monomaniac character of a novel and extraordinary form-hourly and momently gaining vigor-and at length obtaining over me the most incomprehensible ascendancy.","EAP"
"We recommend the final line to the attention of those careless bards who pronounce =real= as =reel=, and =ideal= as =ideel=.","HPL"
"They hardly know how ill you have been, and are uneasy at your long silence.""","MWS"
"The lassitude of his earlier ill days gave place to a return of his fiery purpose, so that he seemed about to hurl defiance at the death-daemon even as that ancient enemy seized him.","HPL"
"Evidently he found the society of a well-born man a rare novelty in this dingy environment, and was moved to unaccustomed speecli as memories of better days surged over liim.","HPL"
"Oh, poh, poh, John don't do so!","EAP"
"The only exact means whereby a poet may transmit his ideas to others is language, a thing both definite and intellectual.","HPL"
"My hair which had been raven-black the day before, was as white as you see it now.","EAP"
"The master is a person of an excellent disposition and is remarkable in the ship for his gentleness and the mildness of his discipline.","MWS"
"Their northern end must likewise be visible from the long Antarctic Circle coast-line at Queen IVIary Land.","HPL"
"My father felt this kindness; for a moment ambitious dreams floated before him; and he thought that it would be well to exchange his present pursuits for nobler duties.","MWS"
"I had money with me and gained the friendship of the villagers by distributing it; or I brought with me some food that I had killed, which, after taking a small part, I always presented to those who had provided me with fire and utensils for cooking.","MWS"
"He had been in the trade a long time, and, I may say, understood it.","EAP"
"I could not sustain the horror of my situation, and when I perceived that the popular voice and the countenances of the judges had already condemned my unhappy victim, I rushed out of the court in agony.","MWS"
"Is it not truly remarkable that, before the magnificent light shed upon philosophy by Humanity, the world was accustomed to regard War and Pestilence as calamities?","EAP"
"I shall satiate my ardent curiosity with the sight of a part of the world never before visited, and may tread a land never before imprinted by the foot of man.","MWS"
"Indeed, to judge from the progression of the numbers indicating my various altitudes, respectively, at different periods, between six A.M. on the second of April, and twenty minutes before nine A.M. of the same day (at which time the barometer ran down), it might be fairly inferred that the balloon had now, at four o'clock in the morning of April the seventh, reached a height of not less, certainly, than 7,254 miles above the surface of the sea.","EAP"
"There is none but Epiphanes, No-there is none: So tear down the temples, And put out the sun!","EAP"
"And the floor of the palace is of glass, under which flow the cunningly lighted waters of the Narg, gay with gaudy fish not known beyond the bounds of lovely Cathuria.""","HPL"
"They won't stay because of the things that try to get near the house at night, and that keep the dogs barking continually.","HPL"
"""It is clear,"" said I, ""as you observe, that the letter is still in possession of the minister; since it is this possession, and not any employment of the letter, which bestows the power.","EAP"
"They seen us - git aout fer your life!","HPL"
"It was all mud an' water, an' the sky was dark, an' the rain was wipin' aout all tracks abaout as fast as could be; but beginnin' at the glen maouth, whar the trees had moved, they was still some o' them awful prints big as bar'ls like he seen Monday.""","HPL"
"But he was not reserved for this agony of self-reproach.","MWS"
"I would in vain attempt to portray the majesty, the quiet ease, of her demeanor, or the incomprehensible lightness and elasticity of her footfall.","EAP"
"Although there are some rookeries in which the penguin and albatross are the sole population, yet in most of them a variety of oceanic birds are to be met with, enjoying all the privileges of citizenship, and scattering their nests here and there, wherever they can find room, never interfering, however, with the stations of the larger species.","EAP"
"The impossible word =supremest= in line 16, should read =sublimest=.","HPL"
"On Thursday, the eighth of March, Drs.","HPL"
"Unable to restrain his feelings, his Grace swallows an olive.","EAP"
"Several times he had actually obtained signs of life in animals supposedly dead; in many cases violent signs; but he soon saw that the perfection of this process, if indeed possible, would necessarily involve a lifetime of research.","HPL"
"I had felt it in October when we first caught sight of Victoria Land, and I felt it afresh now.","HPL"
"But he did not faint, and that man of unholy centuries and forbidden secrets never troubled the world again.","HPL"
"She had never before looked so supremely lovely.","MWS"
"They cut my wires whenever I try to telephone in the night - the linemen think it is very queer, and may testify for me if they don't go and imagine I cut them myself.","HPL"
"The Reviewers' Club is in this issue represented by both editors, whose criticisms are as usual just and illuminating.","HPL"
"""Here they are,"" he cried, ""beautiful creatures-breathing, speaking, loving creatures.","MWS"
"Now, the Day-Book is a thing that don't lie.","EAP"
"This was once a Cyclopean corridor thirty feet tall, paved with octagonal blocks and solidly vaulted overhead.","HPL"
"I had no compass with me, and was so little acquainted with the geography of this part of the world that the sun was of little benefit to me.","MWS"
"Mrs. Whitehead, with notable generosity, has reserved for herself but one page, on which we find a clever and correct bit of verse, and a number of graceful acknowledgments and useful suggestions.","HPL"
"Two large low sofas of rosewood and crimson silk, gold-flowered, form the only seats, with the exception of two light conversation chairs, also of rose-wood.","EAP"
"At length there returned to me some portion of presence of mind.","EAP"
"It is difficult to be patient with the political idiots who advocate the relinquishment of the archipelago by the United States, either now or at any future time.","HPL"
"Normal beings seldom visited the locality till the state police were formed, and even now only infrequent troopers patrol it.","HPL"
"Now you may think that I drew back-but no.","EAP"
"Was man, indeed, at once so powerful, so virtuous and magnificent, yet so vicious and base?","MWS"
"You remember, Mr. Rumgudgeon, I called, this day year to bid you good-bye.","EAP"
"You, doubtless, recollect these papers.","MWS"
"Be steady to your purposes, and firm as a rock.","MWS"
"shouted the Pest family altogether.","EAP"
"Something in the Martenses' manner gave Gifford a feeling of repulsion and suspicion, and a week later he returned with spade and mattock to explore the sepulchral spot.","HPL"
"All around the dwindling brown lump near the well was a vacant space, except where the earth had caved in; and whereas it had been a good seven feet across the day before, it was now scarcely five.","HPL"
"It was a silent, shocking descent, and I observed after a horrible interval that the walls and steps were changing in nature, as if chiselled out of the solid rock.","HPL"
"But the whole nation is, indeed, of so surprising a necromantic ability, that not even their infants, nor their commonest cats and dogs have any difficulty in seeing objects that do not exist at all, or that for twenty millions of years before the birth of the nation itself had been blotted out from the face of creation.'""","EAP"
"He had neither the ennobling self-gratulation, which constancy inspires, to console him, nor the voluptuous sense of abandonment to a forbidden, but intoxicating passion.","MWS"
"Let us see what they say: Imprimus.","EAP"
"Policemen noted a tendency of the gangsters to congregate at the old stone church and dance-hall Instead of at the basement flat In Parker Place, though the latter and Its recent annexes still overflowed with noxious life.","HPL"
"Besides, the grocery youth had told me that the churches, as well as the Order of Dagon Hall, were not advisable neighbourhoods for strangers.","HPL"
"I had been awake the whole of the preceding night, my nerves were agitated, and my eyes inflamed by watching and misery.","MWS"
"Winter was hailed, a general and never-failing physician.","MWS"
"Pray, sir, upon an average what proportion of these Kabbala were usually found to be right?""","EAP"
"THE EMISSARY for July is a National paper, but contains the work of several United members.","HPL"
"We found no great difficulty in reaching the bottom of the hollow as before, and were now sufficiently calm to survey it with some attention.","EAP"
"He developed strange caprices, acquiring a fondness for exotic spices and Egyptian Incense till his room smelled like the vault of a sepulchred Pharaoh in the Valley of Kings.","HPL"
"After a time I insisted upon talking - nervously and elaborately explaining my condition.","HPL"
"HOW TO WRITE A BLACKWOOD ARTICLE A PREDICAMENT MYSTIFICATION DIDDLING THE ANGEL OF THE ODD MELLONTA TAUTA THE DUC DE L'OMELETTE THE OBLONG BOX LOSS OF BREATH THE MAN THAT WAS USED UP THE BUSINESS MAN THE LANDSCAPE GARDEN MAELZEL'S CHESS-PLAYER THE POWER OF WORDS THE COLLOQUY OF MONOS AND UNA THE CONVERSATION OF EIROS AND CHARMION SHADOW-A PARABLE PHILOSOPHY OF FURNITURE A TALE OF JERUSALEM THE SPHINX HOP-FROG THE MAN OF THE CROWD NEVER BET THE DEVIL YOUR HEAD THOU ART THE MAN WHY THE LITTLE FRENCHMAN WEARS HIS HAND IN A SLING BON-BON SOME WORDS WITH A MUMMY THE POETIC PRINCIPLE OLD ENGLISH POETRY POEMS PREFACE POEMS OF LATER LIFE THE RAVEN THE BELLS ULALUME TO HELEN ANNABEL LEE A VALENTINE AN ENIGMA FOR ANNIE TO F-- TO FRANCES S. OSGOOD ELDORADO TO MARIE LOUISE (SHEW) O MARIE LOUISE (SHEW) THE CITY IN THE SEA THE SLEEPER NOTES POEMS OF MANHOOD LENORE TO ONE IN PARADISE THE COLISEUM THE HAUNTED PALACE THE CONQUEROR WORM SILENCE DREAM-LAND HYMN TO ZANTE SCENES FROM ""POLITIAN"" POEMS OF YOUTH INTRODUCTION TO POEMS-1831 LETTER TO MR. B-.","EAP"
"I cannot conclude these details of some very singular passages in a life at all times sufficiently eventful, without again recalling to the attention of the reader the merits of that indiscriminate philosophy which is a sure and ready shield against those shafts of calamity which can neither be seen, felt nor fully understood.","EAP"
"I have made a great purgation, and those in this house will sleep the better for it.""","HPL"
"Not a syllable was there, however-nothing but a dreary and unsatisfactory blank; the illumination died away in a few seconds, and my heart died away within me as it went.","EAP"
"From the one to the northwest issued a rivulet, which came, gently murmuring and slightly foaming, down the ravine, until it dashed against the group of rocks out of which sprang the insulated hickory.","EAP"
"We trust that the editor's threat of discontinuance may not be realized.","HPL"
"The house was an old peaked relic of the middle seventeenth century with enormous stack chimney and diamond-paned lattice windows, the laboratory being in a lean-to toward the north, where the roof came nearly to the ground.","HPL"
"Perhaps there is no task more difficult than the just criticism of contemporary literature.","EAP"
"There had, they said, been a huge robed negro, a little old woman in rags, and a young white man in his night-clothes.","HPL"
"My notions upon this head might not have been so clear as they are, but for a fortunate accident which happened to me when I was a very little boy.","EAP"
"We pored together over such works as the Ververt et Chartreuse of Gresset; the Belphegor of Machiavelli; the Heaven and Hell of Swedenborg; the Subterranean Voyage of Nicholas Klimm by Holberg; the Chiromancy of Robert Flud, of Jean D'Indaginé, and of De la Chambre; the Journey into the Blue Distance of Tieck; and the City of the Sun of Campanella.","EAP"
"""For God's sake, stay only a few minutes,"" says the finder of the book-""the true claimant will presently appear.""","EAP"
"When I appeared on deck the master said, ""Here is our captain, and he will not allow you to perish on the open sea.""","MWS"
"The vocalists were chiefly ladies, and no individual sang less than well.","EAP"
"Scraping against it, I discovered it to be a solid mass of iron, which, from its peculiar wavy feel as I passed the blade along it, I concluded to be a chain-cable.","EAP"
"Today a violent agitation of the water occurred very close to the canoe.","EAP"
"I wish I had stopped to memorise the licence-number of his car - or perhaps It Is better after all that I did not.","HPL"
"A Passer in the Storm For days after that hideous experience in the forest-swathed mansion I lay nervously exhausted in my hotel room at Lefferts Corners.","HPL"
"I will say 'one, two, three, and away.'","EAP"
"I love, indeed, to regard the dark valleys, and the gray rocks, and the waters that silently smile, and the forests that sigh in uneasy slumbers, and the proud watchful mountains that look down upon all,-I love to regard these as themselves but the colossal members of one vast animate and sentient whole-a whole whose form (that of the sphere) is the most perfect and most inclusive of all; whose path is among associate planets; whose meek handmaiden is the moon, whose mediate sovereign is the sun; whose life is eternity, whose thought is that of a God; whose enjoyment is knowledge; whose destinies are lost in immensity, whose cognizance of ourselves is akin with our own cognizance of the animalculae which infest the brain-a being which we, in consequence, regard as purely inanimate and material much in the same manner as these animalculae must thus regard us.","EAP"
"From the moment that she perceived the right line of conduct, she resolved to adopt it, and to part from Raymond for ever.","MWS"
"I was speaking with the editor of the paper in question, upon the topic of this remarkable accident, when it occurred to me to ask how it happened that the name of the deceased had been given as Bedlo.","EAP"
"I am sorry that you could not have paid us a visit at an earlier period, that you might have judged for yourself.","EAP"
"Presently his voice came back - albeit as a trembling whisper.","HPL"
"All day I forged steadily westward, guided by a far- away hummock which rose higher than any other elevation on the rolling desert.","HPL"
"We replaced and screwed down the lid, and, having secured the door of iron, made our way, with toil, into the scarcely less gloomy apartments of the upper portion of the house.","EAP"
"My parents were possessed by the very spirit of kindness and indulgence.","MWS"
"We consigned her to the oblivious tomb with reluctance; and when I turned from her grave, Janus veiled his retrospective face; that which gazed on future generations had long lost its faculty.","MWS"
"The title, however, is a misnomer, since a true ode is necessarily of irregular form.","HPL"
"Ten thousand years ago there stood by its shore the mighty city of Sarnath, but Sarnath stands there no more.","HPL"
"What these horrible creatures - and Charles Ward as well - were doing or trying to do seemed fairly clear from their letters and from every bit of light both old and new which had filtered in upon the case.","HPL"
"We put in movement every impulse of policy and money to redeem him from their hands.","MWS"
"Despite their distance below me I at once knew they were the servants brought from the north, for I recognised the ugly and unwieldy form of the cook, whose very absurdness had now become unutterably tragic.","HPL"
"I was exceedingly surprised on receiving so rude an answer from a stranger, and I was also disconcerted on perceiving the frowning and angry countenances of his companions.","MWS"
"And on the coast nearby he had built a little Cornish fishing village with steep cobbled ways, settling therein such people as had the most English faces, and seeking ever to teach them the dear remembered accents of old Cornwall fishers.","HPL"
"After an hour's scramble, at the risk of breaking our necks, we discovered that we had merely descended into a vast pit of black granite, with fine dust at the bottom, and whence the only egress was by the rugged path in which we had come down.","EAP"
"My very aspect and garb told the tale of my despair.","MWS"
"The opening sentence of this instalment contains instances of both of these faults: ""A terrible foreboding gripped Christabel's heart in bands of steel, as if for a moment to cleave her tongue to the roof of her mouth.""","HPL"
"Frightful must it be; for supremely frightful would be the effect of any human endeavour to mock the stupendous mechanism of the Creator of the world.","MWS"
"He paused, and was lost in thought.","MWS"
"Pickman even consented to lend three ghouls to help with a tombstone lever in raising the stone door; for of ghouls the gugs are somewhat afraid, and they often flee from their own colossal graveyards when they see feasting there.","HPL"
"The boat made a sharp half turn to larboard, and then shot off in its new direction like a thunderbolt.","EAP"
"Next morning the population of Nopolis were taken all aback by reading in 'The Tea-Pot,' the following extraordinary leader: 'Sx hx, Jxhn!","EAP"
"He points out that the appearance of a journal representing a fairly uniform maturity of thought and artistic development may perhaps tend to discourage those newer aspirants who have not yet attained their full literary stature, and thus defeat the educational ends of the Association.","HPL"
"It was a place fitted for such a work, being hardly more than a rock, whose high sides were continually beaten upon by the waves.","MWS"
"I drew out my torch and cast a brilliant beam into the opening.","HPL"
"A voice was now heard at the forecastle companion-way, and he had just time to put his right hand into its handcuff (the left had not been removed) and to draw the rope in a slipknot around his ankle, when Dirk Peters came below, followed by Tiger, who immediately leaped into the berth and lay down.","EAP"
"said his majesty-""come, sir, strip!""","EAP"
"On one side was a small opening.","MWS"
"Such is the will of fate!","MWS"
"It is obvious that here the victory can be decided (the players being at all equal) only by some recherché movement, the result of some strong exertion of the intellect.","EAP"
"In the present instance they were fully eight inches wide; but their glory was altogether eclipsed by the gorgeous splendor of the profuse blossoms.","EAP"
"how shall I ever forget thee?","EAP"
"""Well, I don't know,"" said he, a little nettled, ""I draw tolerably-should do it at least-have had good masters, and flatter myself that I am not quite a blockhead.""","EAP"
"It was inside this circle that the ring of worshippers jumped and roared, the general direction of the mass motion being from left to right in endless Bacchanal between the ring of bodies and the ring of fire.","HPL"
"This letter reached me on the twenty-eighth of August, and I prepared and mailed as encouraging a reply as I could.","HPL"
"""Consider now the circumstance that in the outer garment of the corpse when found, 'a slip, about a foot wide had been torn upward from the bottom hem to the waist wound three times round the waist, and secured by a sort of hitch in the back.'","EAP"
"There followed a few spasmodic muscular motions, and then an audible breathing and visible motion of the chest.","HPL"
"No portion of the masonry had fallen; and there appeared to be a wild inconsistency between its still perfect adaptation of parts, and the crumbling condition of the individual stones.","EAP"
"It was really lucky for Ammi that he was not more imaginative.","HPL"
"Indeed, our contrivance was so very clumsy that any greater success was hardly to be anticipated.","EAP"
"The king lamented his absence; he loved to repeat his sayings, relate the adventures they had had together, and exalt his talents-but here ended his reminiscence.","MWS"
"He could not help imagining that the glorious, the voluptuous, the never-dying melodies which pervaded that hall, as they passed filtered and transmuted through the alchemy of the enchanted window-panes, were the wailings and the howlings of the hopeless and the damned!","EAP"
"To traverse that space again would require his utmost fortitude, but he knew it must be done.","HPL"
"The ghouls were in general respectful, even if one did attempt to pinch him while several others eyed his leanness speculatively.","HPL"
"The air was cold, and the rain again began to descend; we entered the hut, the fiend with an air of exultation, I with a heavy heart and depressed spirits.","MWS"
"I stand amid the roar Of a surf-tormented shore, And I hold within my hand Grains of the golden sand- How few!","EAP"
"Alpha Lyrae, although so very much larger than our sun, by the by, resembles him closely as regards its spots, its atmosphere, and in many other particulars.","EAP"
"Vague dreams and queer ideas continually haunted me, and when the outbreak of the world war turned my mind to history I found myself thinking of periods and events in the oddest possible fashion.","HPL"
"""Its adaptation to the eyes which were to behold it upon earth.""","EAP"
"Some trees, now growing, are partly petrified.","EAP"
"Upon considerations similar to these, and still retaining my grasp upon the nose of Mr. W., I accordingly thought proper to model my reply.","EAP"
"His third, and most difficult of realization, was the contempt of ambition.","EAP"
"Upon passing the blade of a knife athwart the veins, the water closed over it immediately, as with us, and also, in withdrawing it, all traces of the passage of the knife were instantly obliterated.","EAP"
"Tho' many of my readers have at times observ'd and remark'd a Sort of antique Flow in my Stile of Writing, it hath pleased me to pass amongst the Members of this Generation as a young Man, giving out the Fiction that I was born in 1890, in =America=.","HPL"
"Saying this, he seated himself at a small table, on which were a pen and ink, but no paper.","EAP"
"how fearful a shock awaited the husband, who, personally, threw open the door!","EAP"
"But you should have seen me.","EAP"
"Danforth was a great reader of bizarre material, and had talked a good deal of Poe.","HPL"
"The next morning it was taken from thence, without the knowledge of any of the officers.","EAP"
"The print which merely falls in with ordinary opinion (however well founded this opinion may be) earns for itself no credit with the mob.","EAP"
"""Of what a strange nature is knowledge!","MWS"
"It is true that I have for five years been his closest friend, and a partial sharer of his terrible researches into the unknown.","HPL"
"""Why Mourn Thy Soldier Dead,"" is a poem of brave sorrow by Olive G. Owen.","HPL"
"Most of the creatures seemed not quite usual in their aspects and motions, and their nocturnal habits contradicted all former experience.","HPL"
"I alternately laughed and howled as the one or the other idea grew predominant.","EAP"
"We watched at his bedside, and when the access of fever was on him, we neither spoke nor looked at each other, marking only his obstructed breath and the mortal glow that tinged his sunken cheek, the heavy death that weighed on his eyelids.","MWS"
"He had caused the best room in the prison to be prepared for me (wretched indeed was the best); and it was he who had provided a physician and a nurse.","MWS"
"What, for example, in this case of D--, has been done to vary the principle of action?","EAP"
"All efforts proved in vain.","EAP"
"Almost immediately afterward the galley was sighted again through the flume-like strait, but only for a second.","HPL"
"We discussed certain possible arrangements for his moving back into the Derby mansion, and I hoped he would lose no time in making the change.","HPL"
"I was scarcely hid, when a young girl came running towards the spot where I was concealed, laughing as if she ran from some one in sport.","MWS"
"It was after this transition, which appears to have come early in July, that the sinister scholar began to astonish people by his possession of information which only their long-dead ancestors would seem to be able to impart.","HPL"
"As I gained this respite I heard the battering at the two other doors abate, while a confused clatter came from the connecting door I had shielded with the bedstead.","HPL"
"The percentage of crude matter appearing in print has been reduced to a minimum through the careful and conscientious critical service rendered both by the official bureau and by private individuals.","HPL"
"He crossed two or three broad avenues, and once thought he glimpsed a familiar tower.","HPL"
"Our glances, however, rested not long upon the dead-for we could not regard her unawed.","EAP"
"There now followed a hideous whirl through frigid space, endlessly up and eastward toward the gaunt grey flanks of those impassable mountains beyond which Long was said to lie.","HPL"
"On the nature and appearance of those responsible for the sounds, I did not care to speculate.","HPL"
"The penguins alone could not have saved us, but in conjunction with the mist they seem to have done so.","HPL"
"On the night of the fourth day, the stables of the castle Berlifitzing were discovered to be on fire; and the unanimous opinion of the neighborhood added the crime of the incendiary to the already hideous list of the Baron's misdemeanors and enormities.","EAP"
"It is not to be supposed that a lady, or gentleman either, has been leading the life of a book worm.","EAP"
"There seemed very little taste, however, in the arrangements; and my eyes, accustomed to quiet lights, were sadly offended by the prodigious glare of a multitude of wax candles, which, in silver candelabra, were deposited upon the table, and all about the room, wherever it was possible to find a place.","EAP"
"I remember, when he was nine years old, he wrote a fairy tale, which was the delight and amazement of all his companions.","MWS"
"He would have used this, but for its volution about the corpse, the hitch which embarrassed it, and the reflection that it had not been 'torn off' from the garment.","EAP"
"The vast huddle of sagging gambrel roofs and peaked gables conveyed with offensive clearness the idea of wormy decay, and as we approached along the now descending road I could see that many roofs had wholly caved in.","HPL"
"I alighted, and was conducted to my solitary apartment, to spend the evening as I pleased.","MWS"
"It seeks to banish mediocrity as a goal and standard; to place before its members the classical and the universal and to draw their minds from the commonplace to the beautiful.","HPL"
"In one particular these extraordinary animals bear a resemblance to the dromedary, or camel of the desert.","EAP"
"It was in a very crabbed and archaic hand; and though clearly not the effort of a foreigner, shewed almost as singular a departure from modern English as the speech of young Ward himself.","HPL"
"From no particular disposition of the men at one period of a game can we predicate their disposition at a different period.","EAP"
"""When my dearest aunt died every one was too much occupied in their own grief to notice poor Justine, who had attended her during her illness with the most anxious affection.","MWS"
"A star was discovered by Tycho Brahe which appeared suddenly in the heavens-attained, in a few days, a brilliancy surpassing that of Jupiter-then as suddenly disappeared, and has never been seen since.","EAP"
"'colum' amended to column: 'editorial column of'; 'techinque' amended to technique: 'old-school technique'.","HPL"
"Our vessel was a beautiful ship of about four hundred tons, copper-fastened, and built at Bombay of Malabar teak.","EAP"
"At length we pulled away.","EAP"
"""Flames of the Shadow"", Mrs. Renshaw's longest poetical contribution to this issue, is a powerful piece which, despite the author's theory, seems in no way injured by its commendably regular structure.","HPL"
"For example, an arrant simpleton is his opponent, and, holding up his closed hand, asks, 'are they even or odd?'","EAP"
"Below the ice- cap, however, the twilight deepened; and in many parts of the tangled ground level there was an approach to absolute blackness.","HPL"
"I wish you could see him; he is very tall of his age, with sweet laughing blue eyes, dark eye-lashes, and curling hair.","MWS"
"""Never shall I forget the sensations of awe, horror, and admiration with which I gazed about me.","EAP"
"con., that it should be lifted upon the table and its contents disembowelled forthwith.","EAP"
"I bent over her and placed the portrait securely in one of the folds of her dress.","MWS"
"Actually, they have never knowingly harmed men, but have often been cruelly wronged and spied upon by our species.","HPL"
